typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,M,20240101,2024,1,202401,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,117858.87,FALSE,5,u,214160,FALSE,117858.87,FALSE,0,FALSE,1291509.517,1241496.951,1291509.517,0,FALSE,TRUE
C,M,20240101,2024,1,202401,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,35686.32,FALSE,5,u,142750,FALSE,35686.32,FALSE,0,FALSE,,451925.01,451925.01,0,FALSE,TRUE
C,M,20240101,2024,1,202401,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,1000,Air,8,kg,8193.855,FALSE,5,u,22979,FALSE,8193.855,FALSE,0,FALSE,169028.023,149438.33,169028.023,0,FALSE,TRUE
C,M,20240101,2024,1,202401,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,1000,Air,8,kg,4791.83,FALSE,5,u,25970,FALSE,4791.83,FALSE,0,FALSE,,77599.59,77599.59,0,FALSE,TRUE
C,M,20240101,2024,1,202401,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,101435.335,FALSE,5,u,166019,FALSE,101435.335,FALSE,0,FALSE,965658.934,937871.701,965658.934,0,FALSE,TRUE
C,M,20240101,2024,1,202401,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,23951.09,FALSE,5,u,69561,FALSE,23951.09,FALSE,0,FALSE,,214809.68,214809.68,0,FALSE,TRUE
C,M,20240101,2024,1,202401,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,3200,Road,8,kg,8229.68,FALSE,5,u,25162,FALSE,8229.68,FALSE,0,FALSE,156822.56,154186.92,156822.56,0,FALSE,TRUE
C,M,20240101,2024,1,202401,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,3200,Road,8,kg,6943.4,FALSE,5,u,47219,FALSE,6943.4,FALSE,0,FALSE,,159515.74,159515.74,0,FALSE,TRUE
C,M,20240201,2024,2,202402,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,277263.935,FALSE,5,u,725723,FALSE,277263.935,FALSE,0,FALSE,3497275.617,3353705.578,3497275.617,0,FALSE,TRUE
C,M,20240201,2024,2,202402,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,61484.75,FALSE,5,u,177225,FALSE,61484.75,FALSE,0,FALSE,,380159.94,380159.94,0,FALSE,TRUE
C,M,20240201,2024,2,202402,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,1000,Air,8,kg,22563.134,FALSE,5,u,170042,FALSE,22563.134,FALSE,0,FALSE,634102.679,566980.46,634102.679,0,FALSE,TRUE
C,M,20240201,2024,2,202402,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,1000,Air,8,kg,3323.65,FALSE,5,u,14503,FALSE,3323.65,FALSE,0,FALSE,,42081.52,42081.52,0,FALSE,TRUE
C,M,20240201,2024,2,202402,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,212540.375,FALSE,5,u,435078,FALSE,212540.375,FALSE,0,FALSE,2148624.851,2081722.469,2148624.851,0,FALSE,TRUE
C,M,20240201,2024,2,202402,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,58008.1,FALSE,5,u,161682,FALSE,58008.1,FALSE,0,FALSE,,334223.74,334223.74,0,FALSE,TRUE
C,M,20240201,2024,2,202402,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,3200,Road,8,kg,42160.426,FALSE,5,u,120603,FALSE,42160.426,FALSE,0,FALSE,714548.087,705002.649,714548.087,0,FALSE,TRUE
